x,y,celltype,id
464,-314,Cell A,cell_0
44,-104,Cell A,cell_1
45,-440,Cell A,cell_2
61,-310,Cell A,cell_3
245,-210,Cell A,cell_4
323,-194,Cell A,cell_5
353,-176,Cell A,cell_6
77,-457,Cell A,cell_7
454,-132,Cell A,cell_8
208,-489,Cell A,cell_9
431,-42,Cell A,cell_10
356,-116,Cell A,cell_11
12,-345,Cell A,cell_12
468,-301,Cell A,cell_13
356,-53,Cell A,cell_14
464,-390,Cell A,cell_15
495,-301,Cell A,cell_16
331,-354,Cell A,cell_17
383,-384,Cell A,cell_18
94,-96,Cell A,cell_19
27,-97,Cell A,cell_20
280,-47,Cell A,cell_21
466,-92,Cell A,cell_22
53,-445,Cell A,cell_23
434,-163,Cell A,cell_24
181,-466,Cell A,cell_25
377,-204,Cell A,cell_26
383,-472,Cell A,cell_27
135,-256,Cell A,cell_28
252,-100,Cell A,cell_29
87,-485,Cell A,cell_30
461,-214,Cell A,cell_31
442,-234,Cell A,cell_32
440,-307,Cell A,cell_33
155,-90,Cell A,cell_34
306,-308,Cell A,cell_35
20,-160,Cell A,cell_36
368,-477,Cell A,cell_37
106,-46,Cell A,cell_38
403,-148,Cell A,cell_39
479,-467,Cell A,cell_40
233,-475,Cell A,cell_41
89,-488,Cell A,cell_42
185,-321,Cell A,cell_43
112,-156,Cell A,cell_44
371,-59,Cell A,cell_45
325,-371,Cell A,cell_46
79,-154,Cell A,cell_47
98,-97,Cell A,cell_48
494,-217,Cell A,cell_49
157,-92,Cell A,cell_50
467,-46,Cell A,cell_51
294,-74,Cell A,cell_52
125,-58,Cell A,cell_53
495,-139,Cell A,cell_54
43,-327,Cell A,cell_55
366,-36,Cell A,cell_56
331,-497,Cell A,cell_57
42,-327,Cell A,cell_58
113,-89,Cell A,cell_59
172,-19,Cell A,cell_60
329,-276,Cell A,cell_61
313,-389,Cell A,cell_62
438,-286,Cell A,cell_63
142,-67,Cell A,cell_64
86,-339,Cell A,cell_65
498,-134,Cell A,cell_66
425,-461,Cell A,cell_67
211,-494,Cell A,cell_68
79,-401,Cell A,cell_69
350,-365,Cell A,cell_70
347,-253,Cell A,cell_71
183,-449,Cell A,cell_72
368,-168,Cell A,cell_73
200,-243,Cell A,cell_74
339,-134,Cell A,cell_75
458,-343,Cell A,cell_76
229,-281,Cell A,cell_77
290,-230,Cell A,cell_78
274,-43,Cell A,cell_79
275,-87,Cell A,cell_80
114,-46,Cell A,cell_81
111,-373,Cell A,cell_82
330,-209,Cell A,cell_83
317,-165,Cell A,cell_84
344,-51,Cell A,cell_85
431,-427,Cell A,cell_86
347,-376,Cell A,cell_87
245,-389,Cell A,cell_88
20,-308,Cell A,cell_89
205,-308,Cell A,cell_90
134,-30,Cell A,cell_91
206,-24,Cell A,cell_92
186,-337,Cell A,cell_93
161,-404,Cell A,cell_94
412,-338,Cell A,cell_95
77,-367,Cell A,cell_96
424,-448,Cell A,cell_97
91,-282,Cell A,cell_98
41,-361,Cell A,cell_99
493,-227,Cell A,cell_100
354,-216,Cell A,cell_101
285,-457,Cell A,cell_102
176,-483,Cell A,cell_103
153,-494,Cell A,cell_104
315,-168,Cell A,cell_105
54,-388,Cell A,cell_106
172,-26,Cell A,cell_107
489,-287,Cell A,cell_108
370,-494,Cell A,cell_109
264,-493,Cell A,cell_110
346,-29,Cell A,cell_111
149,-57,Cell A,cell_112
82,-289,Cell A,cell_113
413,-249,Cell A,cell_114
460,-283,Cell A,cell_115
16,-241,Cell A,cell_116
176,-372,Cell A,cell_117
173,-19,Cell A,cell_118
276,-496,Cell A,cell_119
98,-232,Cell A,cell_120
185,-161,Cell A,cell_121
272,-272,Cell A,cell_122
371,-207,Cell A,cell_123
251,-53,Cell A,cell_124
235,-60,Cell A,cell_125
439,-343,Cell A,cell_126
391,-452,Cell A,cell_127
32,-348,Cell A,cell_128
16,-233,Cell A,cell_129
315,-418,Cell A,cell_130
257,-267,Cell A,cell_131
184,-295,Cell A,cell_132
40,-104,Cell A,cell_133
140,-12,Cell A,cell_134
44,-132,Cell A,cell_135
102,-118,Cell A,cell_136
386,-370,Cell A,cell_137
391,-158,Cell A,cell_138
46,-442,Cell A,cell_139
117,-84,Cell A,cell_140
358,-383,Cell A,cell_141
328,-352,Cell A,cell_142
355,-57,Cell A,cell_143
334,-142,Cell A,cell_144
195,-182,Cell A,cell_145
231,-493,Cell A,cell_146
391,-401,Cell A,cell_147
316,-492,Cell A,cell_148
290,-429,Cell A,cell_149
351,-353,Cell A,cell_150
155,-69,Cell A,cell_151
56,-304,Cell A,cell_152
336,-404,Cell A,cell_153
379,-400,Cell A,cell_154
436,-221,Cell A,cell_155
135,-12,Cell A,cell_156
187,-420,Cell A,cell_157
485,-356,Cell A,cell_158
209,-363,Cell A,cell_159
280,-434,Cell A,cell_160
140,-440,Cell A,cell_161
414,-120,Cell A,cell_162
386,-157,Cell A,cell_163
235,-396,Cell A,cell_164
